"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","COMP","ATT","PCT","YDS","TDS","INT","ATT","YDS","TDS","SACK"
"52",7,"Gardner Minshew II",KC,"10.6","20.3","30.6","66%","201.3","0.9","1.0","1.9","5.8","0.0","2.9"
"53",7,"Will Howard",PIT,"0","0","0","0","0","0","0","0","0","0","0"
"54",7,"Sam Howell",MIN,"0.2","5.0","14.0","36%","24.0","0.0","1.0","1.0","2.0","0.0","4.0"
"55",7,"Andy Dalton",CAR,"10.8","17.7","26.7","66%","164.8","1.2","1.0","1.8","5.7","0.0","1.2"
"56",7,"Joshua Dobbs",NE,"10.9","10.7","15.7","68%","120.3","0.7","0.7","3.0","8.0","0.7","0.7"
"57",8,"Mitchell Trubisky",BUF,"1.7","2.1","2.9","73%","19.9","0.2","0.0","1.9","0.1","0.0","0.0"
"58",8,"Jarrett Stidham",DEN,"0.2","0.0","0.0","NaN%","0.0","0.0","0.0","1.3","1.7","0.0","0.0"
"59",8,"Cooper Rush",BAL,"9.5","15.6","25.7","61%","153.7","1.0","0.4","2.2","1.5","0.0","1.1"
"60",8,"Taylor Heinicke",LAC,"0.8","0.8","1.3","60%","7.0","0.0","0.0","0.5","5.0","0.0","0.8"
"61",8,"Kyle Trask",TB,"-0.1","0.3","0.3","100%","1.3","0.0","0.0","1.3","-1.0","0.0","0.0"
"62",8,"Jacoby Brissett",ARI,"6.6","13.6","23.0","59%","118.0","0.3","0.1","2.1","8.9","0.0","2.6"
"63",8,"Deshaun Watson",CLE,"11.4","19.6","30.9","63%","164.0","0.7","0.4","4.4","21.1","0.1","4.7"
"64",8,"Tyson Bagent",CHI,"-0.1","0.5","0.5","100%","2.8","0.0","0.0","1.5","-1.8","0.0","0.0"
"65",8,"Jake Haener",NO,"1.8","2.3","4.9","46%","28.3","0.1","0.1","1.4","2.8","0.0","0.8"
"66",8,"Quinn Ewers",MIA,"0","0","0","0","0","0","0","0","0","0","0"
"67",8,"Nick Mullens",JAC,"0.3","0.5","0.5","100%","9.5","0.0","0.0","0.8","-0.5","0.0","0.0"
"68",8,"Hendon Hooker",DET,"0.9","2.0","3.0","67%","20.7","0.0","0.0","1.7","0.7","0.0","0.3"
"69",8,"Davis Mills",HOU,"2.4","5.0","9.0","56%","53.0","0.0","0.0","0.8","2.8","0.0","0.5"
"70",8,"Tanner McKee",PHI,"14.4","15.0","22.5","67%","161.5","2.0","0.0","2.5","-0.5","0.0","1.0"
"71",8,"Riley Leonard",IND,"0","0","0","0","0","0","0","0","0","0","0"
"72",8,"Trey Lance",LAC,"3.4","6.3","10.3","61%","66.5","0.0","0.3","2.8","10.3","0.0","1.0"
"73",8,"Drew Lock",SEA,"12.2","15.3","25.9","59%","153.0","0.9","0.7","2.6","19.0","0.3","1.7"
"74",8,"Dorian Thompson-Robinson",PHI,"3.6","10.2","19.7","52%","73.3","0.0","1.0","3.5","20.3","0.0","1.3"
"75",8,"Brandon Allen",TEN,"2.8","5.7","10.0","57%","66.3","0.3","0.7","1.0","1.3","0.0","0.7"
"76",8,"Bailey Zappe",KC,"9.0","16.0","31.0","52%","170.0","1.0","2.0","2.0","2.0","0.0","1.0"
"77",8,"Kyle McCord",PHI,"0","0","0","0","0","0","0","0","0","0","0"
"78",8,"Clayton Tune",ARI,"-0.4","0.3","0.3","100%","1.3","0.0","0.0","1.2","-0.7","0.0","0.0"
