"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"63",7,"Johnny Mundt",JAC,"3.0","1.8","1.3","9.5","0.1","0.0","0.0","0.0"
"64",7,"John Bates",WAS,"0.8","0.8","0.5","4.9","0.0","0.0","0.0","0.0"
"65",8,"Adam Trautman",DEN,"2.6","1.3","0.8","11.1","0.1","0.0","0.0","0.0"
"66",8,"Kylen Granson",PHI,"2.0","1.9","0.9","11.4","0.0","0.0","0.0","0.0"
"67",8,"Payne Durham",TB,"2.2","0.9","0.7","7.2","0.1","0.0","0.0","0.0"
"68",8,"Daniel Bellinger",NYG,"1.6","1.0","0.8","7.4","0.0","0.0","0.0","0.0"
"69",8,"Harrison Bryant",PHI,"2.9","2.0","1.5","14.3","0.0","0.0","0.0","0.0"
"70",8,"Colby Parkinson",LAR,"3.8","2.9","1.8","17.3","0.1","0.0","0.0","0.0"
"71",8,"Josh Whyle",TEN,"3.6","2.2","1.6","14.6","0.1","0.0","0.0","0.0"
"72",8,"Luke Farrell",SF,"1.6","1.4","1.0","5.6","0.0","0.0","0.0","0.0"
"73",8,"Jelani Woods",IND,"0","0","0","0","0","0","0","0"
"74",8,"Hunter Long",JAC,"1.2","0.8","0.6","5.5","0.0","0.0","0.0","0.0"
"75",8,"Tanner Hudson",CIN,"3.5","2.1","1.7","14.0","0.1","0.1","0.1","0.0"
"76",8,"Brock Wright",DET,"2.1","0.9","0.8","5.9","0.1","0.0","0.0","0.0"
"77",8,"Luke Lachey",HOU,"0","0","0","0","0","0","0","0"
"78",8,"Mo Alie-Cox",IND,"1.9","1.3","0.7","8.6","0.1","0.0","0.0","0.0"
"79",8,"Drew Sample",CIN,"2.1","1.3","1.2","6.4","0.1","0.1","-0.2","0.0"
"80",8,"Erick All Jr.",CIN,"4.0","2.4","2.2","17.6","0.0","0.0","0.0","0.0"
"81",8,"Jaheim Bell",NE,"0.3","0.2","0.2","1.5","0.0","0.0","0.0","0.0"
"82",8,"Lucas Krull",DEN,"2.6","1.8","1.5","11.7","0.0","0.0","0.0","0.0"
"83",8,"Pharaoh Brown",MIA,"1.3","1.2","0.8","6.5","0.0","0.0","0.0","0.0"
"84",8,"Jared Wiley",KC,"0.2","0.1","0.1","1.0","0.0","0.0","0.0","0.0"
"85",8,"Will Mallory",IND,"0.7","0.8","0.4","2.9","0.0","0.0","0.0","0.0"
"86",8,"Jake Briningstool",KC,"0","0","0","0","0","0","0","0"
"87",8,"Tip Reiman",ARI,"0.6","0.4","0.4","2.2","0.0","0.0","0.0","0.0"
"88",8,"Charlie Kolar",BAL,"2.2","0.8","0.7","10.1","0.1","0.1","0.2","0.0"
"89",8,"Drew Ogletree",IND,"1.5","0.8","0.5","6.4","0.1","0.0","0.0","0.0"
"90",8,"Charlie Woerner",ATL,"0.7","0.8","0.4","2.9","0.0","0.0","0.0","0.0"
"91",8,"Eric Saubert",SEA,"2.1","1.1","0.8","7.5","0.1","0.0","0.0","0.0"
"92",9,"Robbie Ouzts",SEA,"0","0","0","0","0","0","0","0"
"93",9,"Davis Allen",LAR,"0.7","0.9","0.4","2.8","0.0","0.0","0.0","0.0"
"94",9,"Teagan Quitoriano",ATL,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"95",9,"Moliki Matavao",NO,"0","0","0","0","0","0","0","0"
"96",9,"Nate Adkins",DEN,"2.6","0.9","0.8","6.8","0.2","0.0","0.0","0.0"
"97",9,"Devin Culp",TB,"2.8","1.2","1.0","17.6","0.0","0.0","0.0","0.0"
